microstructure,version,taufactor.status,taufactor.config_hash,taufactor.resolved_version,taufactor.porosity,taufactor.D_eff,taufactor.tau_solver,taufactor.tau_reconciled,taufactor.constrictivity,taufactor.elapsed_s,berg_voxel.status,berg_voxel.config_hash,berg_voxel.resolved_version,berg_voxel.n_paths,berg_voxel.Omega,berg_voxel.Omega_c,berg_voxel.phi,berg_voxel.phi_c,berg_voxel.I_decomp,berg_voxel.I_total_direct,berg_voxel.current_loss_rel,berg_voxel.tau_sq_c,berg_voxel.user_tortuosity,berg_voxel.C_c,berg_voxel.one_over_C_c,berg_voxel.one_over_F_direct,berg_voxel.F_direct,berg_voxel.user_tortuosity_inferred_from_C_F_phi_c,berg_voxel.user_tortuosity_inferred_from_C_F_phi,berg_voxel.decomposition_method,berg_voxel.decomposition_engine,berg_voxel.decomposition_elapsed_s,berg_voxel.one_over_F,berg_voxel.F,berg_voxel.G_eff,berg_voxel.L_sample,berg_voxel.elapsed_s,berg_cc.status,berg_cc.config_hash,berg_cc.resolved_version,berg_cc.n_bodies,berg_cc.n_throats,berg_cc.n_streamtubes,berg_cc.n_fallback_throats,berg_cc.Omega,berg_cc.Omega_c,berg_cc.V_stuck_total,berg_cc.iota_sq_g,berg_cc.iota_sq_c,berg_cc.tau_sq_c,berg_cc.C_c,berg_cc.consistency,berg_cc.phi_total,berg_cc.phi_c,berg_cc.F_total,berg_cc.F_c,berg_cc.total_current,berg_cc.effective_conductance,berg_cc.elapsed_s
Coarse_microstructure_0,2,pointer,01fe9c6ef6ea,1,0.2655517037037037,0.0038364760112017393,69.21761322021484,1.638131606233536,0.038768675117470855,296.1058910442516,pointer,2f16db359fa9,1,81823,896237.0,309647.00000000006,0.2655517037037037,0.09174725925925928,0.5143660609541542,0.5782697402422455,0.11050842684820616,0.1650938201131371,2.4611302114021596,10.874212231026473,0.0919606844849675,0.0038551316016149704,259.3945170590507,1.4793742099567275,2.5168425038243147,greedy_fast,numba,10.924375009723008,0.0038551316016149704,259.3945170590507,0.5782697402422455,150.0,66.22453765198588,real,e55acd997b82,2,174,278,58,97,896237.0,440985.6931013431,0.0,0.0198862573133727,0.04041582271028045,0.22483704248195407,5.563094387274877,0.04041582378976895,0.2655517037037037,0.13066242758558314,189.3641894959038,189.36418949590376,0.7921244305470786,0.7921244305470786,24.402533843182027
Coarse_microstructure_0,3,pointer,01fe9c6ef6ea,1,0.2655517037037037,0.0038364760112017393,69.21761322021484,1.638131606233536,0.038768675117470855,296.1058910442516,pointer,2f16db359fa9,1,81823,896237.0,309647.00000000006,0.2655517037037037,0.09174725925925928,0.5143660609541542,0.5782697402422455,0.11050842684820616,0.1650938201131371,2.4611302114021596,10.874212231026473,0.0919606844849675,0.0038551316016149704,259.3945170590507,1.4793742099567275,2.5168425038243147,greedy_fast,numba,10.924375009723008,0.0038551316016149704,259.3945170590507,0.5782697402422455,150.0,66.22453765198588,real,68181c0a1bd8,3,174,278,58,97,896237.0,440985.6931013431,3201.1855953569784,0.0198862573133727,0.04041582271028045,0.22483704248195407,5.563094387274877,0.04041582378976895,0.2655517037037037,0.13066242758558314,189.3641894959038,189.36418949590376,0.7921244305470786,0.7921244305470786,20.888081367127597
Coarse_microstructure_0,4,pointer,01fe9c6ef6ea,1,0.2655517037037037,0.0038364760112017393,69.21761322021484,1.638131606233536,0.038768675117470855,296.1058910442516,pointer,2f16db359fa9,1,81823,896237.0,309647.00000000006,0.2655517037037037,0.09174725925925928,0.5143660609541542,0.5782697402422455,0.11050842684820616,0.1650938201131371,2.4611302114021596,10.874212231026473,0.0919606844849675,0.0038551316016149704,259.3945170590507,1.4793742099567275,2.5168425038243147,greedy_fast,numba,10.924375009723008,0.0038551316016149704,259.3945170590507,0.5782697402422455,150.0,66.22453765198588,real,27c3f3efe32b,4,174,278,87,97,896237.0,470198.09722222225,0.0,0.02233620028795038,0.04257467066696866,0.232074781644411,5.451005915225548,0.04257467066696594,0.2655517037037037,0.13931795473251027,168.5938051104109,168.5938051104109,0.8897124061098605,0.8897124061098605,20.79031455796212
Coarse_microstructure_0,5,pointer,01fe9c6ef6ea,1,0.2655517037037037,0.0038364760112017393,69.21761322021484,1.638131606233536,0.038768675117470855,296.1058910442516,pointer,2f16db359fa9,1,81823,896237.0,309647.00000000006,0.2655517037037037,0.09174725925925928,0.5143660609541542,0.5782697402422455,0.11050842684820616,0.1650938201131371,2.4611302114021596,10.874212231026473,0.0919606844849675,0.0038551316016149704,259.3945170590507,1.4793742099567275,2.5168425038243147,greedy_fast,numba,10.924375009723008,0.0038551316016149704,259.3945170590507,0.5782697402422455,150.0,66.22453765198588,real,26b6722f407e,5,174,278,87,97,896237.0,590841.3857142857,1.4797050635378502e-07,0.022336200287950376,0.03388139291101016,0.18468767317385087,5.451005915220631,0.03388139291101385,0.2655517037037037,0.1750641142857143,168.59380511041093,168.5938051104109,1.334568609164806,1.334568609164806,20.78702058084309
Coarse_microstructure_1,2,pointer,01fe9c6ef6ea,1,0.31101422222222225,0.0024060183204710484,129.26512145996094,1.540164975930506,0.018350720799947276,363.2792880265042,pointer,2f16db359fa9,1,56157,1049673.0,136310.00000000003,0.31101422222222225,0.04038814814814816,0.26753400165158225,0.36656292226170867,0.27015531194239123,0.23684495564815883,2.0547923030230772,14.260861631546536,0.070121990230092,0.002443752815078058,409.20668973963234,1.0765282965954988,2.9873671703456393,greedy_fast,numba,9.67750431317836,0.002443752815078058,409.20668973963234,0.36656292226170867,150.0,60.374849976971745,real,e55acd997b82,2,170,283,29,111,1047954.0,298275.76940267335,0.0,0.007396069264840117,0.0259851491989705,0.2944642625683246,11.332021252672682,0.025985149162941656,0.3105048888888889,0.08837800574894025,435.4422724445503,435.44227244455044,0.3444773622231775,0.3444773622231775,23.31607234850526
Coarse_microstructure_1,7,pointer,01fe9c6ef6ea,1,0.31101422222222225,0.0024060183204710484,129.26512145996094,1.540164975930506,0.018350720799947276,363.2792880265042,pointer,2f16db359fa9,1,56157,1049673.0,136310.00000000003,0.31101422222222225,0.04038814814814816,0.26753400165158225,0.36656292226170867,0.27015531194239123,0.23684495564815883,2.0547923030230772,14.260861631546536,0.070121990230092,0.002443752815078058,409.20668973963234,1.0765282965954988,2.9873671703456393,greedy_fast,numba,9.67750431317836,0.002443752815078058,409.20668973963234,0.36656292226170867,150.0,60.374849976971745,real,27c3f3efe32b,7,170,283,88,111,1047954.0,768058.7731411862,15883.60000165081,0.013224597425269245,0.01804389228381738,0.1450617852630505,8.039384350951757,0.01804389228459728,0.3105048888888889,0.22757296981961075,243.5281093461117,243.5281093461117,0.6159453231200458,0.6159453231200458,19.797920496203005
Coarse_microstructure_1,8,pointer,01fe9c6ef6ea,1,0.31101422222222225,0.0024060183204710484,129.26512145996094,1.540164975930506,0.018350720799947276,363.2792880265042,pointer,2f16db359fa9,1,56157,1049673.0,136310.00000000003,0.31101422222222225,0.04038814814814816,0.26753400165158225,0.36656292226170867,0.27015531194239123,0.23684495564815883,2.0547923030230772,14.260861631546536,0.070121990230092,0.002443752815078058,409.20668973963234,1.0765282965954988,2.9873671703456393,greedy_fast,numba,9.67750431317836,0.002443752815078058,409.20668973963234,0.36656292226170867,150.0,60.374849976971745,real,26b6722f407e,8,170,283,88,111,1047954.0,750499.6461570594,15883.600003952059,0.013224597425269246,0.01846605770057888,0.14845573508562862,8.039384339750724,0.01846605769941729,0.3105048888888889,0.22237026552801759,243.52810934611165,243.52810934611165,0.9239179846800601,0.9239179846800601,19.88123657926917
Coarse_microstructure_2,1,real,01fe9c6ef6ea,1,0.11814192592592593,0.0026371439453214407,44.7991943359375,1.5569034863829638,0.05410696557922155,432.1476984443143,real,2f16db359fa9,1,3351,398729.0,86660.0,0.11814192592592593,0.025677037037037036,0.046632940354194866,0.3955697344662016,0.8821119608224747,0.18886806112055093,2.3010218307295665,10.70821960360569,0.09338620583231953,0.0026371315631080108,379.1998905134041,0.9535597714119852,2.045396414297977,greedy_fast,numba,4.438070189207792,0.0026371315631080108,379.1998905134041,0.3955697344662016,150.0,18.01854259055108,real,3b3527cf3a5f,1,72,101,25,34,397096.00000000006,148770.75,0.0,0.029283673711396906,0.07816341381690013,0.27212926218474515,3.4815426923677033,0.0781634138169012,0.1176580740740741,0.04408022222222222,290.2369527273035,290.2369527273035,0.5168190976044764,0.5168190976044764,6.374474339187145
Coarse_microstructure_2,2,pointer,01fe9c6ef6ea,1,0.11814192592592593,0.0026371439453214407,44.7991943359375,1.5569034863829638,0.05410696557922155,432.1476984443143,pointer,2f16db359fa9,1,3351,398729.0,86660.0,0.11814192592592593,0.025677037037037036,0.046632940354194866,0.3955697344662016,0.8821119608224747,0.18886806112055093,2.3010218307295665,10.70821960360569,0.09338620583231953,0.0026371315631080108,379.1998905134041,0.9535597714119852,2.045396414297977,greedy_fast,numba,4.438070189207792,0.0026371315631080108,379.1998905134041,0.3955697344662016,150.0,18.01854259055108,real,e55acd997b82,2,72,108,28,38,398729.00000000006,147378.49999999997,0.0,0.02815876739928285,0.07618287040376195,0.2727435521549814,3.580116531208323,0.07618286996455054,0.11814192592592594,0.043667703703703695,300.5953881805502,300.5953881805502,0.4990096518388979,0.4990096518388979,9.988810663111508
Coarse_microstructure_2,3,pointer,01fe9c6ef6ea,1,0.11814192592592593,0.0026371439453214407,44.7991943359375,1.5569034863829638,0.05410696557922155,432.1476984443143,pointer,2f16db359fa9,1,3351,398729.0,86660.0,0.11814192592592593,0.025677037037037036,0.046632940354194866,0.3955697344662016,0.8821119608224747,0.18886806112055093,2.3010218307295665,10.70821960360569,0.09338620583231953,0.0026371315631080108,379.1998905134041,0.9535597714119852,2.045396414297977,greedy_fast,numba,4.438070189207792,0.0026371315631080108,379.1998905134041,0.3955697344662016,150.0,18.01854259055108,real,68181c0a1bd8,3,72,108,28,38,398729.00000000006,147378.49999999997,0.0,0.02815876739928285,0.07618287040376197,0.27274355174272374,3.5801165257968974,0.0761828699645506,0.11814192592592594,0.043667703703703695,300.5953881805502,300.5953881805502,0.4990096518388979,0.4990096518388979,6.409693417139351
