microstructure,version,taufactor.status,taufactor.config_hash,taufactor.resolved_version,taufactor.porosity,taufactor.D_eff,taufactor.tau_solver,taufactor.tau_reconciled,taufactor.constrictivity,taufactor.elapsed_s,berg_voxel.status,berg_voxel.config_hash,berg_voxel.resolved_version,berg_voxel.n_paths,berg_voxel.Omega,berg_voxel.Omega_c,berg_voxel.phi,berg_voxel.phi_c,berg_voxel.I_decomp,berg_voxel.I_total_direct,berg_voxel.current_loss_rel,berg_voxel.tau_sq_c,berg_voxel.user_tortuosity,berg_voxel.C_c,berg_voxel.one_over_C_c,berg_voxel.one_over_F_direct,berg_voxel.F_direct,berg_voxel.user_tortuosity_inferred_from_C_F_phi_c,berg_voxel.user_tortuosity_inferred_from_C_F_phi,berg_voxel.decomposition_method,berg_voxel.decomposition_engine,berg_voxel.decomposition_elapsed_s,berg_voxel.one_over_F,berg_voxel.F,berg_voxel.G_eff,berg_voxel.L_sample,berg_voxel.elapsed_s,berg_cc.status,berg_cc.config_hash,berg_cc.resolved_version,berg_cc.n_bodies,berg_cc.n_throats,berg_cc.n_streamtubes,berg_cc.n_fallback_throats,berg_cc.Omega,berg_cc.Omega_c,berg_cc.V_stuck_total,berg_cc.iota_sq_g,berg_cc.iota_sq_c,berg_cc.tau_sq_c,berg_cc.C_c,berg_cc.consistency,berg_cc.phi_total,berg_cc.phi_c,berg_cc.F_total,berg_cc.F_c,berg_cc.total_current,berg_cc.effective_conductance,berg_cc.elapsed_s
Coarse_microstructure_0,1,real,80f5d6b5d4e1,1,0.08510103703703703,0.012253416702151299,6.945086479187012,1.4125835995885774,0.28730994665169407,339.3254517223686,real,787b7a447301,1,62527,287216.0,272992.0,0.08510103703703703,0.08088651851851852,1.7137310799846044,1.8380081804165656,0.06761509647024261,0.1934148355804257,2.2738149027271697,3.0824699769072312,0.3244151629996867,0.01225338786944377,81.61008291377901,1.463391585315538,1.501031852022164,greedy_fast,numba,10.81161054968834,0.01225338786944377,81.61008291377901,1.8380081804165656,150.0,24.51764028146863,real,2699f2a72daf,1,37,47,17,23,206192.0,149880.85,0.0,0.14513678568071947,0.19966556176508787,0.3634101031321402,1.8200940608861844,0.19966556176508796,0.061093925925925927,0.04440914074074074,112.77801994968611,112.77801994968614,1.3300464050257281,1.3300464050257281,1.8740628184750676
Coarse_microstructure_1,1,real,80f5d6b5d4e1,1,0.1815762962962963,0.008189378306269646,22.17217254638672,1.6026889057012081,0.11584844575261656,351.8094207784161,real,787b7a447301,1,151564,612820.0,558478.0,0.1815762962962963,0.16547496296296296,1.2255770686014884,1.228408580996319,0.0023050249230057098,0.13852682507981254,2.686785894875694,7.048716379151628,0.1418698024164732,0.00818939053997546,122.10920887441236,1.6931106323273555,1.7735717695540993,greedy_fast,numba,21.367105970159173,0.00818939053997546,122.10920887441236,1.228408580996319,150.0,71.31037321407348,real,2699f2a72daf,1,48,62,13,11,603123.0,199859.36666666667,0.0,0.04319254093709156,0.13034372770253666,0.390016126705068,2.992212464531791,0.1303437277025367,0.17870311111111112,0.0592175901234568,129.55647797369394,129.55647797369394,1.157796216337842,1.157796216337842,3.028101807460189
Coarse_microstructure_3,1,real,80f5d6b5d4e1,1,0.17133481481481483,0.01550388429313898,11.051090240478516,1.4269872604776794,0.1842616970140152,36.570784548297524,real,787b7a447301,1,86614,578255.0,525292.0,0.17133481481481483,0.15564207407407407,1.6000368836593581,2.3255719421869627,0.3119813433272303,0.22646237990573656,2.1013672840207716,6.264807478795909,0.159621824514901,0.015503812947913085,64.50026218451033,1.2658737089595622,1.3281578241653618,greedy_fast,numba,18.002678714692593,0.015503812947913085,64.50026218451033,2.3255719421869627,150.0,66.89561991021037,real,2699f2a72daf,1,58,79,27,36,555817.0000000001,250325.55,0.0,0.0679043150384928,0.15077315388600915,0.46248406633563155,3.067416542107272,0.15077315388600973,0.16468651851851857,0.07417053333333333,89.42204109298555,89.42204109298557,1.6774387854111135,1.6774387854111135,6.123507232405245
Coarse_microstructure_4,1,real,80f5d6b5d4e1,1,0.08379851851851852,0.008610970340669155,9.731599807739258,1.5638398825730262,0.2513045364217614,243.99202209711075,real,787b7a447301,1,102936,282820.0,279081.0,0.08379851851851852,0.08269066666666666,1.2902960892010438,1.2916459471614337,0.0010450680880131152,0.16001922247355316,2.499849837955633,4.077193698672996,0.24526673832677362,0.008610972981076225,116.13089510298487,1.5346928197307839,1.5449391722772063,greedy_fast,numba,8.119405691511929,0.008610972981076225,116.13089510298487,1.2916459471614337,150.0,32.89963837247342,real,2699f2a72daf,1,64,98,38,40,279117.0,216539.14761904764,0.0,0.0695532399707645,0.08965349635103179,0.21834679371431998,2.4354520749464155,0.08965349635103126,0.08270133333333334,0.06415974744268077,173.84816989501402,173.84816989501402,0.8628218524853255,0.8628218524853255,4.040920461528003
Coarse_microstructure_5,1,real,80f5d6b5d4e1,1,0.16192029629629628,0.015099089592695236,10.723844528198242,1.3429643998327077,0.1681816045053245,157.1660249987617,real,787b7a447301,1,89993,546481.0,469891.0,0.16192029629629628,0.13922696296296297,1.6171570888026245,2.2648652654962325,0.28598088661653565,0.23776847424019526,2.0507979022791183,5.221091781658096,0.19153082187006173,0.015099101769974883,66.2291052298579,1.3289402487779993,1.433159163607641,greedy_fast,numba,6.616945572197437,0.015099101769974883,66.2291052298579,2.2648652654962325,150.0,42.583577618934214,real,2699f2a72daf,1,59,76,9,27,546481.0000000001,255095.21666666662,0.0,0.08367523015295635,0.17925433509390015,0.5231352201760913,2.918396477842792,0.17925433509390065,0.16192029629629634,0.07558376790123456,73.8077208222443,73.8077208222443,2.032307708854127,2.032307708854127,2.9449241049587727
Coarse_microstructure_6,1,real,80f5d6b5d4e1,1,0.21126162962962963,0.002893253695219755,73.0186996459961,2.0937551946980864,0.06003682394480443,134.4141480308026,real,787b7a447301,1,145734,713008.0,709292.0000000002,0.21126162962962963,0.21016059259259265,0.41923262371720665,0.43399279738410734,0.03401018117320765,0.09644627528344138,3.220010367405447,18.353184085555988,0.05448645833542328,0.002893285315894049,345.6278558172517,1.989410017199504,1.9946144959857477,greedy_fast,numba,16.48833016771823,0.002893285315894049,345.6278558172517,0.43399279738410734,150.0,84.57487658783793,real,2699f2a72daf,1,45,45,6,6,711324.9999999999,424403.7333333334,0.0,0.01852721426288149,0.031052673787846416,0.19713593015483508,6.34843657913905,0.031052673787846184,0.21076296296296293,0.12574925432098766,256.0917456836433,256.0917456836433,0.5857275860241858,0.5857275860241858,2.7871983759105206
Coarse_microstructure_7,1,real,80f5d6b5d4e1,1,0.09926488888888889,0.014660396613180637,6.770955562591553,1.4051954686710681,0.29162417134782426,21.061896039173007,real,787b7a447301,1,119521,335019.0,330634.0,0.09926488888888889,0.09796562962962962,2.188846236576662,2.199056779178978,0.004643146415768275,0.19619256563350929,2.2576609787261246,3.3814903699482293,0.29572759067632953,0.014660378527859853,68.21106277028589,1.4057568150678492,1.4150479646260201,greedy_fast,numba,17.123361561447382,0.014660378527859853,68.21106277028589,2.199056779178978,150.0,47.06894147768617,real,2699f2a72daf,1,64,102,36,40,332209.0,170761.5142857143,0.0,0.10169734120500838,0.1978476951653559,0.35506984543452763,1.7946625313869278,0.19784769516535633,0.0984322962962963,0.05059600423280423,99.89707781852267,99.89707781852267,1.501545423305542,1.501545423305542,4.53909722622484
Coarse_microstructure_8,1,real,80f5d6b5d4e1,1,0.27493214814814815,0.021314410492777824,12.898884773254395,1.389510382871762,0.14968263830930437,43.86069014016539,real,787b7a447301,1,362227,927896.0,922867.9999999999,0.27493214814814815,0.27344237037037034,3.1710640546428883,3.197151943038725,0.008159727426354875,0.1930247169284717,2.276111525323537,6.5101767831781325,0.15360565977009014,0.021314346286924836,46.91675674864325,1.4037847024038463,1.4076035810863,greedy_fast,numba,41.04502304922789,0.021314346286924836,46.91675674864325,3.197151943038725,150.0,146.54711796343327,real,2699f2a72daf,1,82,101,12,29,912746.0000000002,466872.0,0.0,0.06548897546343306,0.12803252368603513,0.4663130580547967,3.6421453286221337,0.12803252368603546,0.2704432592592593,0.13833244444444445,56.461920031661855,56.46192003166184,2.6566577954820763,2.6566577954820763,3.977212630212307
Coarse_microstructure_9,1,real,80f5d6b5d4e1,1,0.09922281481481482,0.01055089756846428,9.404205322265625,1.3629254975052205,0.19752502716543574,125.3745005717501,real,787b7a447301,1,138090,334877.0,331509.99999999994,0.09922281481481482,0.09822518518518517,1.5816115696767252,1.5826340306307438,0.0006460501507168382,0.20405536079843675,2.213736856187416,5.01606190094379,0.19935958123081501,0.010550893537538292,94.77870252810052,1.3623395477270714,1.369240408948715,greedy_fast,numba,9.901530854403973,0.010550893537538292,94.77870252810052,1.5826340306307438,150.0,37.759503467939794,real,2699f2a72daf,1,74,130,27,52,334060.00000000006,184309.56944444447,0.0,0.07120814276084773,0.12906433584751534,0.38913426909663706,3.0150410377998087,0.12906433584751578,0.09898074074074076,0.05461024279835393,141.87949750791327,141.87949750791327,1.05723520758617,1.05723520758617,3.6033208072185516
Fine_microstructure_0,1,real,80f5d6b5d4e1,1,0.45384148148148146,0.1899961531162262,2.3886876106262207,1.2465907621192804,0.6505616394911234,3.0620495537295938,real,787b7a447301,1,947513,1531715.0,1531211.0000000012,0.45384148148148146,0.4536921481481485,28.499241203713098,28.499263723173662,7.901769246915784e-07,0.31236059209259437,1.7892535242630847,1.961153879995102,0.509903893927231,0.18999509148782442,5.2632938681159755,1.1034524042981486,1.10363399072084,greedy_fast,numba,115.71911624260247,0.18999509148782442,5.2632938681159755,28.499263723173662,150.0,286.60906535573304,real,2699f2a72daf,1,99,171,105,28,1504589.0,1399459.0331168831,0.0,0.2656935690841971,0.2856529644347473,0.4406593294809749,1.5426387412185827,0.28565296443474714,0.44580414814814817,0.41465452833092836,8.442573534703811,8.442573534703811,17.767094285103244,17.767094285103244,6.045816982164979
